emosi,dokumen
shame,"['adult', 'caught', 'lie', 'behav', 'bad']"
guilt,"['environ', 'person', 'much', 'wors', 'realiz', 'privileg']"
joy,"['saw', 'person', 'seen', 'long', 'time']"
fear,"['child', 'near', 'knock', 'car']"
anger,"['heard', 'radio', 'footbal', 'match', 'belgium', 'end', 'catastroph', 'sever', 'peopl', 'die', 'could', 'understand', 'normal', 'peopl', 'could', 'behav', 'way']"
sadness,"['feel', 'lone', 'perhap', 'studi', 'lot', 'shut', 'appart', 'noth', 'happen', 'particular', 'time', 'anyth', 'els']"
disgust,"['one', 'learn', 'mass', 'media', 'war', 'kill', 'go', 'world']"
shame,"['lie', 'precis', 'cancel', 'meet', 'good', 'friend']"
guilt,"['one', 'let', 'us', 'friend']"
joy,"['accept', 'cours', 'financ', 'account']"
fear,"['bus', 'drove', 'right', 'leg', 'event', 'frighten', 'wait', 'emerg', 'ward', 'three', 'hour', 'leg', 'began', 'swell', 'frighten']"
anger,"['summer', 'job', 'nobodi', 'look', 'particular', 'learn']"
sadness,"['accept', 'student', 'financ', 'account']"
disgust,"['move', 'new', 'appart', 'found', 'ventil', 'kitchen', 'go', 'clean', 'found', 'drum', 'full', 'mud', 'slime', 'felt', 'disgust']"
shame,"['elder', 'brother', 'alway', 'good', 'relationship', 'feel', 'asham', 'call', 'talk', 'nowaday']"
guilt,"['summer', 'job', 'new', 'caretak', 'employ', 'age', 'prefer', 'go', 'lunch', 'account', 'personnel', 'rather']"
joy,"['pass', 'exam', '2', 'point']"
fear,"['cottag', 'larg', 'forest', 'alon', 'dark']"
sadness,"['railway', 'station', 'goodby']"
disgust,"['saw', 'crippl', 'rag', 'small', 'children', 'itali', 'probabl', 'impost']"
shame,"['told', 'friend', 'go', 'parti', 'would', 'enjoy', 'came', 'along', 'understood', 'would', 'fit', 'someth']"
guilt,"['reason', 'behind', 'breakup', 'friend', 'relationship', 'girlfriend', 'finish']"
joy,"['pass', 'exam', 'absolut', 'certain', 'fail']"
fear,"['way', 'back', 'denmark', 'friend', 'small', 'yatch', 'storm', 'friend', 'blown', 'overboard', 'scare', 'till', 'manag', 'get', 'back', 'onboard']"
anger,['lock']
sadness,"['miss', 'last', 'tram', 'home', 'walk', 'pour', 'rain']"
disgust,"['found', 'worm', 'food', 'obvious', 'eaten']"
shame,"['friend', 'intox', 'polic', 'came', 'took', 'away', 'later', 'contact', 'parent']"
guilt,"['hapen', 'overhear', 'someth', 'meant', 'hear']"
joy,"['trip', 'greec', 'competit']"
fear,"['dark', 'suspici', 'look', 'charact', 'come', 'toward']"
anger,"['work', 'elder', 'man', 'complain', 'unjustifi', 'distrust']"
sadness,"['understood', 'anyth', 'lectur']"
disgust,"['alcohol', 'stood', 'dribbl', 'food', 'counter']"
shame,"['friend', 'discuss', 'good', 'look', 'guy', 'realiz', 'listen']"
guilt,"['complain', 'colleagu', 'manag', 'told', 'someon', 'complain', 'colleagu', 'came', 'believ', 'like']"
joy,"['friend', 'birthday', 'parti', 'closest', 'friend', 'pleasant', 'one', 'could', 'say', 'happi', 'good', 'friend']"
fear,"['way', 'home', 'one', 'friday', 'night', 'heavi', 'rain', 'car', 'acquaplan', 'lost', 'contact', 'road', 'surfac', 'second']"
anger,"['mad', 'dad']"
sadness,"['case', 'unrequit', 'love']"
disgust,"['bad', 'smell', 'cucumb']"
shame,"['near', 'caught', 'masturb']"
guilt,"['help', 'enough', 'home']"
joy,"['felt', 'happi', 'footbal', 'pool']"
fear,"['flew', 'athen', 'copenhagen', 'holiday', 'plane', 'caught', 'storm', 'began', 'shake', 'thouhght', 'go', 'crash']"
anger,"['someon', 'stole', 'bike']"
sadness,"['saw', 'list', 'book', 'read', 'acccout', 'cours', 'thought', 'oh', 'god', 'ever', 'manaag']"
disgust,"['read', 'newspap', 'articl', 'futur', 'foresaw', 'would', 'eat', 'frogburg', 'year', '2000', 'illustr', 'show', 'frog', 'two', 'piec', 'bread']"
shame,"['drop', 'bottl', 'state', 'liquor', 'store', 'everybobi', 'start', 'laugh']"
guilt,"['young', '14', 'pinch', 'store', 'caught', 'store', 'contact', 'parent']"
joy,"['whole', 'famili', 'get', 'togeth', 'one', 'week', 'holiday', 'everybodi', 'feel', 'free', 'trip', 'well', 'plan', 'work', 'well', 'enjoy']"
fear,"['could', 'find', '2', 'year', 'old', 'daughter', 'ran', 'look', 'everywher', 'could', 'find', 'final', 'found', 'gone', 'bed', 'sleep']"
anger,"['friend', 'tri', 'put', 'hurt']"
sadness,"['marriag', 'crise', 'boredom']"
disgust,"['someon', 'make', 'advanc', 'one', 'want']"
shame,"['discoveri', 'one', 'thought', 'oneself']"
guilt,"['spank', 'child', 'anger', 'later', 'regret', 'terribl']"
joy,"['pass', 'first', 'examin', 'repeat']"
fear,"['drove', 'stockholm', 'first', 'time', 'drove', 'stora', 'hissingen', 'road', 'wrong', 'exit']"
anger,"['boyfriend', 'went', 'away', 'month', 'long', 'holiday', 'without']"
sadness,"['last', 'year', 'work', 'summer', 'holiday', 'studi', 'time', 'examin', 'repeat', 'boyfriend', 'went', 'greec', 'holiday', 'month']"
disgust,"['dog', 'left', 'whine', 'outsid', 'shop']"
shame,"['promis', 'help', 'friend', 'weekend', 'keep', 'promis']"
guilt,"['realiz', 'three', 'examin', 'take']"
joy,"['day', 'told', 'accept', 'student', 'econom']"
fear,"['take', 'short', 'cut', 'vasa', 'park', 'surround', 'three', 'peopl', 'tri', 'steal', 'money', 'scare', 'save', 'appear', 'peopl']"
anger,"['restaur', 'observ', 'gypsi', 'tri', 'get', 'money', 'cheat', 'foreign', 'ie', 'non', 'swedish', 'speak', 'anger', 'noth', 'hatr', 'foreign', 'express', 'anger', 'feel', 'see', 'peopl', 'use']"
sadness,"['begin', 'new', 'cours', 'one', 'afraid', 'encount', 'problem', 'one', 'manag', 'thought', 'revolv', 'around', 'fail', 'subject', 'consequ', 'would', 'futur']"
disgust,"['walk', 'town', 'notic', 'polic', 'harrass', 'man', 'influenc', 'alcohol', 'terrifi', 'thought', 'arrest', 'drive', 'close', 'behind', 'pedestrian', 'street', 'disgust', 'direct', 'gestur', 'facial', 'express', 'policemen', 'seem', 'enjoy']"
shame,"['boyfriend', 'reveal', 'knew', 'discov', 'thing', 'import', 'natur', 'felt', 'asham', 'mention', 'earlier']"
guilt,"['dishonest', 'friend', 'close', 'feel', 'guilti', 'know', 'give', 'differ', 'version', 'truth', 'correct', 'mistak', 'awar', 'know', 'wrong']"
joy,"['found', 'pass', 'last', 'two', 'exam', 'margin', 'three', 'mark']"
fear,"['father', 'ill', 'wait', 'result', 'test']"
anger,"['got', 'caught', 'pour', 'rain', 'last', 'thursday', 'raincoat']"
sadness,"['fail', 'exam']"
shame,"['prepar', 'contribut', 'group', 'thorough', 'member', 'result', 'overal', 'result', 'poor']"
guilt,"['father', 'work', 'hous', 'recov', 'ill', 'rather', 'lazi', 'meant', 'work', 'hard', 'well', 'later']"
joy,"['gave', 'birth', 'son', 'saw', 'aliv', 'manag', 'well', 'born', 'month', 'earli', 'malfunct', 'lung', 'happen', 'year', 'ago']"
fear,"['found', 'father', 'lung', 'cancer', 'know', 'long', 'would', 'live']"
anger,"['colleagu', 'ask', 'help', 'work', 'despit', 'fact', 'time']"
sadness,"['get', 'salari', 'increas', 'expect', 'understood', 'littl', 'one', 'work', 'appreci']"
disgust,"['weed', 'garden', 'found', 'lizard', 'hand']"
shame,"['met', 'friend', 'seen', 'long', 'time', 'heard', 'troubl', 'thought', 'got', 'touch', 'earlier']"
guilt,"['got', 'angri', 'mother', 'someth', 'trivial', 'bad', 'mood', 'father', 'ill', 'knew', 'mother', 'realli', 'need', 'support', 'react', 'wrong']"
joy,"['new', 'year', 'eve', '19831984', 'met', 'girlfriend', 'stood', 'step', 'outsid', 'parent', 'home', 'kiss', 'first', 'time']"
fear,"['stop', 'plain', 'cloth', 'policemen', 'car', 'drive', 'overturn', 'avenu', 'drive', 'fast', 'afraid', 'stop', 'question', 'toild', 'go', 'situat', 'end', 'happili', 'sinc', 'consequ']"
anger,"['editor', 'chang', 'head', 'articl', 'written', 'consid', 'head', 'derogatori', 'toward', 'person', 'written']"
sadness,"['close', 'acquaint', 'famili', 'die', 'lung', 'cancer', 'although', 'expect', 'still', 'felt', 'depress']"
disgust,"['saw', 'pictur', 'gothenburg', 'post', 'total', 'demolish', 'car', 'two', 'fatal', 'injur', 'passeng', 'car', 'bad', 'damag', 'could', 'get', 'bodi', 'scene', 'accid']"
shame,"['one', 'night', 'sexual', 'intercours', 'anoth', 'man', 'sexual', 'desir', 'curios', 'made', 'jump', 'bed', 'asham']"
guilt,"['due', 'lazi', 'fail', 'term', 'studi', 'complet', 'univers', 'also', 'want', 'extent', 'protest', 'parent', 'expect']"
joy,"['got', 'loan', 'studi']"
fear,"['met', 'intox', 'peopl', 'dubious', 'intent', 'back', 'alley', 'one', 'wednesday', 'night']"
anger,"['tv', 'saw', 'news', 'featur', 'south', 'africa', 'policeman', 'attack', 'group', 'black', 'peopl', 'whip']"
sadness,"['thought', 'read', 'bore', 'book', '400', 'page', 'english']"
disgust,"['grovel', 'peopl']"
shame,"['inabl', 'assert', 'posit', 'group']"
guilt,"['experi', 'feel', 'guilt', 'studi', 'enough']"
disgust,"['observ', 'someon', 'cafeteria', 'noisili', 'gulp', 'food', 'extrem', 'bad', 'manner']"
shame,"['guess', 'often', 'asham', 'talk', 'bad', 'peopl']"
guilt,"['angri', 'unpleas', 'toward', 'parent']"
joy,"['sister', 'histori', 'one', 'abort', 'one', 'stillbirth', 'gave', 'birth', 'perfect', 'healti', 'boy']"
fear,"['sister', 'still', 'born', 'child', 'emot', 'deep', 'took', 'long', 'time', 'recov']"
anger,"['start', 'student', 'project', 'teacher', 'talk', 'negat', 'help']"
sadness,"['boyfriend', 'open', 'let', 'prefer', 'anoth', 'girl']"
disgust,"['felt', 'disgust', 'boyfriend', 'time', 'left']"
shame,"['can', 'not', 'think']"
guilt,"['accid', 'aunt', 'offer', 'front', 'seat', 'car', 'next', 'driver', 'declin', 'took', 'seat', 'kill', 'car', 'crash']"
joy,"['unexpect', 'visit', 'close', 'friend', 'seen', 'half', 'year']"
fear,"['wander', 'mistak', 'safeti', 'zone', 'shoot', 'rang', 'shot']"
anger,"['treat', 'unfair']"
sadness,"['break', 'girl']"
disgust,['noth']
shame,['none']
guilt,"['littl', 'contact', 'father', 'die']"
joy,"['accept', 'student', 'colleg', 'thought', 'possibl']"
fear,"['first', 'arriv', 'scene', 'accid', 'found', 'close', 'school', 'friend', 'kill']"
anger,"['accus', 'done', 'someth', 'got', 'angri']"
sadness,"['grandmoth', 'die']"
disgust,['applic']
joy,"['coupl', 'year', 'ago', 'summer', 'holiday', 'fish', 'lake', 'husband', 'sudden', 'start', 'rain', 'sun', 'still', 'shine', 'experienc', 'feel', 'joy', 'happi', 'fulfil', 'whole', 'natur', 'full', 'music']"
fear,"['alon', 'home', 'bed', 'read', 'women', 'magazin', 'storie', 'paranorm', 'experi', 'leg', 'itch', 'stretch', 'hand', 'scratch', 'felt', 'anoth', 'strang', 'hand', 'later', 'realiz', 'corner', 'blanket']"
anger,"['went', 'lectur', 'cancel', 'second', 'time', 'one', 'negat', 'attitud', 'toward', 'lectur']"
sadness,"['heard', 'former', 'superior', 'mine', 'die', 'later', 'home', 'home', 'read', 'newspap', 'thought', 'interact', 'longer', 'possibl', 'limit', 'scope', 'human', 'life', 'sad']"
disgust,"['tram', 'fat', 'sick', 'look', 'woman', 'front', 'ask', 'direct', 'thick', 'voic', 'got', 'go', 'disgust', 'smell', 'urin', 'came', 'felt', 'would', 'choke']"
shame,"['home', 'husband', 'made', 'remark', 'someth', 'done', 'perfect', 'friend', 'manner', 'deed', 'unjust', 'knew', 'husband', 'right', 'therefor', 'sens', 'shame']"
guilt,"['made', 'remark', 'sister', 'concern', 'attitud', 'men', 'way', 'talk', 'compar', 'acquaint', 'mine', 'later', 'even', 'sister', 'look', 'sad', 'felt', 'guilti', 'sad']"
joy,"['summer', 'job', 'sweden', 'boyfriend', 'came', 'meet', 'birthday']"
fear,"['went', 'practic', 'sweden', 'summer', 'afraid', 'would', 'well']"
anger,"['holiday', 'cottag', 'associ', 'two', 'pal', 'came', 'wake', 'earli', 'one', 'morn', 'bring', 'radio', 'play', 'highest', 'volum', 'room', 'morn', 'servic', 'loudest']"
sadness,"['grandmoth', 'die', 'sudden', 'last', 'summer']"
disgust,"['superior', 'summer', 'job', 'swindl', 'custom', 'much', 'could', 'put', 'difficult', 'situat', 'could', 'detest']"
shame,"['arriv', 'two', 'hour', 'late', 'work', 'place', 'bank', 'still', 'feel', 'feebl', 'tire']"
guilt,"['associ', 'polish', 'visitor', 'go', 'back', 'boat', 'go', 'see', 'chairman', 'associ']"
joy,"['told', 'quit', 'unexpect', 'one', 'want', 'becom', 'vicechairman', 'student', 'organis', 'realli', 'surpris', 'joy', 'first', 'emot', 'felt', 'though', 'behind', 'worri', 'shall', 'succeed']"
fear,"['tutori', 'group', 'soon', 'divid', 'got', 'list', 'name', 'freshmen', 'five', 'group', 'read', 'name', 'group', 'went', 'way', 'seminar', 'room', 'wonder', 'would', 'cope', 'new', 'situat', 'would', 'succeed', 'group', 'leader']"
anger,"['disco', 'even', 'pleasant', 'despit', 'know', 'angri', 'companion', 'let', 'feel', 'bad', 'humour', 'can', 'not', 'hide', 'feel']"
sadness,"['grandmoth', 'die', 'mother', 'call', 'one', 'sunday', 'morn', 'autumn', 'way', 'mother', 'told', 'hate', 'moment', 'sound', 'wait', 'death', 'grandmoth', 'lost', 'person', 'close', 'felt', 'guilti', 'bad', 'grandmoth', 'late', 'remain', 'calm', 'longer', 'understood', 'everyth', 'well']"
disgust,"['underground', 'station', 'drunkard', 'came', 'speak', 'tri', 'ask', 'someth', 'answer', 'began', 'speak', 'companion', 'detest', 'dirti', 'growl', 'man']"
shame,"['worri', 'task', 'relat', 'studi', 'done', 'group', 'two', 'talk', 'friend', 'said', 'someth', 'negat', 'abrupt', 'manner', 'concern', 'work', 'partner', 'quit', 'mean', 'said', 'felt', 'asham', 'mean', 'enough', 'critic', 'also', 'friend', 'mine']"
guilt,"['told', 'boyfriend', 'want', 'go', 'relationship', 'knew', 'import', 'want', 'free', 'saw', 'difficult', 'remain', 'firm', 'chang', 'mind']"
joy,"['last', 'night', 'chat', 'fellow', 'student', 'known', 'half', 'year', 'first', 'time', 'speak', 'languag', 'mean', 'inspir', 'discuss', 'encount']"
anger,"['sometim', 'quarrel', 'mother', 'blame', 'though', 'way', 'connect', 'event']"
sadness,"['hear', 'death', 'grandfath', 'first', 'could', 'believ', 'later', 'wept', 'felt', 'situat', 'hopeless', 'felt', 'lone', 'want', 'consol']"
disgust,"['even', 'watch', 'tv', 'littl', 'brother', 'came', 'start', 'eat', 'food', 'brought', 'kitchen', 'tri', 'concentr', 'program']"
shame,"['littl', 'brother', 'arrest', 'polic', 'railway', 'station', 'drunk', 'beer']"
guilt,"['temporari', 'job', 'restrict', 'other', 'action', 'make', 'obey', 'often', 'give', 'feel', 'guilt', 'wish', 'could', 'way', 'act']"
joy,"['met', 'dear', 'friend', 'mine', 'long', 'time', 'express', 'feel', 'usual', 'way', 'mutual', 'scold', 'abus', 'complet', 'understand', 'touch', 'pat', 'take', 'hand', 'person', 'etc']"
fear,"['felt', 'fear', 'purest', 'kind', 'car', 'accid', 'incid', 'imag', 'horror', 'kept', 'come', 'back', 'mind', 'wonder', 'could', 'happen', 'sister', 'friend', 'though', 'noth', 'serious', 'actual', 'happen']"
anger,"['two', 'boy', 'know', 'tell', 'indec', 'manner', 'teas', 'young', 'shi', 'girl', 'know', 'despis', 'convict', 'scorn', 'touch', 'got', 'angri', 'tri', 'conceal', 'gave', 'back']"
sadness,"['sweetheart', 'left', 'rather', 'decid', 'break', 'mutual', 'consent', 'consequ', 'unrestrain', 'weep', 'feel', 'loneli', 'hopeless', 'disconsol', 'felt', 'find', 'friend', 'talk', 'joy', 'forget']"
disgust,"['sheer', 'curios', 'went', 'see', 'pornograph', 'movi', 'copenhagen', 'room', 'full', 'men', 'pant', 'masturb', 'disgust']"
shame,"['quarel', 'unnecessarili', 'without', 'reason', 'stupid', 'cross', 'everi', 'way']"
guilt,"['forc', 'fill', 'questionnair']"
joy,"['tenni', 'match']"
fear,"['dog', 'ran', 'thin', 'ice', 'last', 'spring']"
anger,"['tenni', 'match', 'interrupt', 'kid', 'cycl', 'right', 'court']"
joy,"['celebr', 'graduat', 'day', 'orchestra', 'play', 'garden', 'part', 'orchestra']"
fear,"['risk', 'involv', 'fight', 'parti']"
anger,"['heavi', 'work', 'load', 'two', 'colleagu', 'noth', 'disturb', 'terror', 'ring', 'ie', 'contin', 'interrupt', 'telephon']"
sadness,"['exam', 'fail']"
shame,"['overtook', 'car', 'mainroad', 'misjudg', 'distanc', 'oncom', 'car', 'result', 'toot', 'flash', 'driver', 'could', 'collid', 'acquaint', 'car']"
guilt,"['saw', 'neighbour', 'appart', 'block', 'lie', 'road', 'could', 'injur', 'ill', 'kept', '20', 'metr', 'away', 'go', 'help']"
joy,"['met', 'old', 'schhol', 'friend', 'school', 'love']"
fear,"['cycl', 'school', 'near', 'got', 'knock', 'car', 'overtook', 'close', 'give', 'swerv', 'space']"
anger,"['deputi', 'manag', 'summer', 'certain', 'deputi', 'took', 'liberti', 'normal']"
sadness,"['realiz', 'girlfriend', 'like', 'go', 'separ']"
disgust,"['dog', 'dirt', 'thaw', 'spring']"
shame,"['forgot', 'mother', 'birthday']"
guilt,"['think', 'anyth']"
joy,"['pass', 'last', 'exam']"
fear,"['near', 'knock', 'car']"
anger,"['reach', 'bus', 'stop', 'realiz', 'forgotten', 'bus', 'pass']"
sadness,"['current', 'work', 'load', 'much', 'feel', 'come', 'back', 'time', 'time']"
joy,"['one', 'year', 'old', 'son', 'give', 'spontan', 'kiss']"
fear,"['someon', 'close', 'travel', 'car', 'delay']"
anger,"['someon', 'someth', 'wrong', 'affect', 'negat']"
sadness,"['think', 'parent', 'get', 'old']"
guilt,"['time', 'peopl', 'problem', 'motherinlaw', 'sometim', 'depress', 'time', 'desir', 'strength', 'help']"
joy,"['excolleagu', 'ask', 'interest', 'work', 'account', 'bureau', 'need', 'clever', 'peopl', 'immedi', 'thought']"
fear,"['drive', 'deer', 'sudden', 'appear', 'front', 'car', 'lot', 'traffic', 'behind']"
anger,"['saw', 'report', 'tv', 'news', 'apartheid', 'south', 'africa']"
joy,"['girlfriend', 'becam', 'pregnant']"
fear,"['near', 'collid', 'anoth', 'car']"
anger,"['time', 'someon', 'let', 'air', 'tyre', 'cycl']"
sadness,"['read', 'lot', 'rememb', 'anyth']"
guilt,"['time', 'put', 'dog', 'sleep']"
sadness,"['long', 'ill']"
joy,"['pass', 'exam']"
fear,"['travel', 'tram', 'trip', 'fell', 'door', 'thought', 'go', 'fall']"
anger,"['miss', 'tram', 'run']"
sadness,"['inabl', 'read', 'book', 'colleg']"
disgust,"['guy', 'one', 'interest', 'make', 'advanc']"
shame,"['drink', 'wine', 'often']"
guilt,"['studi', 'enough', 'understand', 'proper']"
joy,"['work', 'lawyer', 'offic', 'summer', 'got', 'good', 'refer']"
fear,"['watch', 'triller', 'dark', 'night', 'countri', 'go', 'outsid', 'toilet']"
anger,"['accus', 'someth', 'done', 'get', 'unbeliev', 'angri']"
sadness,"['began', 'read', 'thick', 'book', 'limit', 'time', 'read', 'also', 'lot', 'work', 'can', 'not', 'keep']"
disgust,"['someon', 'vomit', 'street']"
shame,"['think', 'incid', 'felt', 'asham', 'small', 'incid', 'asham', 'instanc', 'send', 'money', 'children', 'ethiopia']"
guilt,"['lunch', 'exboyfriend', 'mention', 'fiance', 'felt', 'guilti', 'despit', 'fact', 'felt', 'noth', 'exboyfriend']"
joy,"['final', 'qualifi', 'profess']"
fear,"['someon', 'attack', 'knife']"
anger,"['someon', 'drove', 'car', 'deni', 'happen']"
sadness,"['told', 'friend', 'wife', 'cancer']"
disgust,"['saw', 'dog', 'knock', 'car']"
shame,"['box', 'child', 'ear']"
guilt,"['fine', 'speed']"
joy,"['stop', 'work', 'bore', 'job']"
fear,"['go', 'home', 'car', 'late', 'one', 'night', 'cold', 'dark', 'windi', 'becam', 'rather', 'panicki', 'way', 'hous']"
anger,"['quarrel', 'famili']"
sadness,"['alon', 'room', 'contact', 'anyon', 'loneli', 'drain']"
disgust,"['holiday', 'someon', 'vomit', 'front']"
shame,"['empti', 'bucket', 'water', 'hospit']"
guilt,"['feign', 'sick', 'leav', 'work']"
joy,"['get', 'hug', 'someon', 'love']"
fear,"['drive', 'fast', 'small', 'road', 'met', 'oncom', 'car', 'right', 'hand', 'bend', 'driver', 'side', 'road', 'skid', 'avoid', 'collis', 'dark']"
anger,"['car', 'tow', 'away', 'traffic', 'polic', 'wrong', 'park', 'howev', 'sign', 'put', 'alreadi', 'park']"
sadness,"['oper', 'stay', 'bed', 'long', 'time']"
disgust,"['forc', 'stay', 'canteen', 'eat', 'food', 'ask', 'got', 'anyway']"
shame,"['buy', 'promis']"
guilt,"['mistak', 'took', 'book', 'librari', 'suppos', 'loan']"
joy,"['unexpect', 'sum', 'money']"
fear,"['2', 'year', 'old', 'daughter', 'disappear', 'moment', 'inattent', 'respons']"
anger,"['colleagu', 'ask', 'advic', 'enough', 'confid', 'ask', 'third', 'person']"
sadness,"['want', 'pregnant', 'succeed', 'depress', 'everi', 'menstruat']"
disgust,"['warm', 'bus', 'full', 'peopl', 'someon', 'vomit', 'whole', 'bus', 'stank']"
shame,"['complain', 'colleagu', 'behaviour', 'goe', 'back', 'word', 'often', 'absent', 'irrespons', 'found', 'alcohol', 'tri', 'fight', 'againt', 'addict']"
guilt,"['spoke', 'mother', 'phone', 'skin', 'cancer', 'wait', 'oper', 'forgot', 'ask', 'date', 'oper', 'finish', 'convers', 'gave', 'date', 'pass']"
joy,"['parti', 'met', 'old', 'friend', 'adult', 'educ', 'cours', 'met', '2', 'year', 'thought', 'lot', 'wonder', 'experi']"
fear,"['cycl', 'park', 'late', 'one', 'night', 'two', 'peopl', 'jump', 'wood', 'tri', 'stop', 'shout', 'someth', 'time']"
anger,"['close', 'relat', 'tri', 'dissuad', 'studi', 'psycholog', 'low', 'status']"
sadness,"['long', 'discuss', 'polit', 'acquaint', 'knowledg', 'fail', 'explain', 'point', 'view', 'misunderstood', 'felt', 'depress', 'left']"
disgust,"['read', 'newspap', 'articl', 'young', 'girl', 'rape', 'assault', 'one', 'night', 'sever', 'men', 'unconsci']"
shame,"['mother', 'reveal', 'person', 'detail', 'negat', 'aspect', 'charact', 'peopl', 'present', 'unabl', 'defend']"
guilt,"['unfaith', 'partner', 'work', 'abroad', 'long', 'period']"
joy,"['recent', 'got', 'appart', 'central', 'gottenburg']"
fear,"['saw', 'larg', 'spider', 'crawl', 'wall']"
anger,"['employ', 'took', 'mani', 'aspirin', 'bad', 'back', 'also', 'drank', 'enorm', 'amount', 'spirit', 'danger', 'understand', 'done', 'anyth', 'wrong']"
sadness,"['left', 'new', 'york', 'famili', 'friend', 'behind']"
disgust,"['slept', 'guy', 'best', 'friend', 'want', 'never', 'intercours', 'anyon', 'terribl', 'complex']"
shame,"['date', 'close', 'girlfriend', 'boyfriend', 'time', 'told', 'accept', 'found', 'finish', 'friendship']"
guilt,"['broke', 'boyfriend', 'three', 'year', 'quit', 'unexpect', 'particular', 'reason', 'break', 'someon', 'els']"
joy,"['son', 'return', 'mountain', 'healthi', 'bodi', 'soul']"
fear,"['one', 'meet', 'new', 'peopl', 'one', 'forc', 'collabor']"
anger,"['sport', 'fishermen', 'catch', 'gull', 'instead', 'fish', 'hook', 'often', 'mistak', 'make', 'angri']"
sadness,"['feel', 'sad', 'event', 'influenc']"
disgust,"['member', 'famili', 'complain', 'food', 'serv', 'disgust']"
guilt,"['chosen', 'put', 'son', 'privat', 'school', 'examin', 'mark', 'low', 'everi', 'time', 'give', 'term', 'result', 'left', 'sens', 'guilt']"
joy,"['inform', 'accept', 'student', 'psycholog']"
fear,"['littl', 'fish', 'boat', 'ran', 'hard', 'weather', 'open', 'sea']"
anger,"['found', 'guy', 'date', 'particular', 'time', 'steadi', 'relationship', 'go', 'someon', 'els', 'long', 'time']"
